candidate_rank,pair_id,galaxy_name,obs_id_1,obs_id_2,compatibility,baseline_days,pair_score,preflight_reason
11,NGC 1365::jw02107-o021_t003_nircam_clear-f335m::jw09246-o003_t003_nircam_clear-f335m,NGC 1365,jw02107-o021_t003_nircam_clear-f335m,jw09246-o003_t003_nircam_clear-f335m,exact,1208.7351024768504,1.4000000000000001,RESTRICTED_DATA_RIGHTS:jw09246-o003_t003_nircam_clear-f335m:EXCLUSIVE_ACCESS
36,NGC 1792::jw04793-o006_t006_nircam_clear-f200w::jw08277-o007_t005_nircam_clear-f200w,NGC 1792,jw04793-o006_t006_nircam_clear-f200w,jw08277-o007_t005_nircam_clear-f200w,exact,392.553880694446,1.4000000000000001,RESTRICTED_DATA_RIGHTS:jw08277-o007_t005_nircam_clear-f200w:EXCLUSIVE_ACCESS
37,NGC 1792::jw04793-o006_t006_nircam_clear-f277w::jw08277-o007_t005_nircam_clear-f277w,NGC 1792,jw04793-o006_t006_nircam_clear-f277w,jw08277-o007_t005_nircam_clear-f277w,exact,392.52765891204035,1.4000000000000001,RESTRICTED_DATA_RIGHTS:jw08277-o007_t005_nircam_clear-f277w:EXCLUSIVE_ACCESS
44,NGC 1365::jw05398-c1024_t000_nircam_clear-f200w::jw09246-o003_t003_nircam_clear-f200w,NGC 1365,jw05398-c1024_t000_nircam_clear-f200w,jw09246-o003_t003_nircam_clear-f200w,exact,360.7102717592643,1.4000000000000001,RESTRICTED_DATA_RIGHTS:jw09246-o003_t003_nircam_clear-f200w:EXCLUSIVE_ACCESS
45,NGC 1365::jw05398-c1024_t000_nircam_clear-f150w::jw09246-o003_t003_nircam_clear-f150w,NGC 1365,jw05398-c1024_t000_nircam_clear-f150w,jw09246-o003_t003_nircam_clear-f150w,exact,360.66553549769014,1.4000000000000001,RESTRICTED_DATA_RIGHTS:jw09246-o003_t003_nircam_clear-f150w:EXCLUSIVE_ACCESS
46,MESSIER 100::jw02107-o032_t014_nircam_clear-f200w::jw02107-o043_t014_nircam_clear-f200w,MESSIER 100,jw02107-o032_t014_nircam_clear-f200w,jw02107-o043_t014_nircam_clear-f200w,exact,358.06311547453515,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
47,MESSIER 100::jw02107-o032_t014_nircam_clear-f360m::jw02107-o043_t014_nircam_clear-f360m,MESSIER 100,jw02107-o032_t014_nircam_clear-f360m,jw02107-o043_t014_nircam_clear-f360m,exact,358.06311547453515,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
48,MESSIER 100::jw02107-o032_t014_nircam_clear-f300m::jw02107-o043_t014_nircam_clear-f300m,MESSIER 100,jw02107-o032_t014_nircam_clear-f300m,jw02107-o043_t014_nircam_clear-f300m,exact,358.0631154629664,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
49,MESSIER 100::jw02107-o032_t014_nircam_clear-f335m::jw02107-o043_t014_nircam_clear-f335m,MESSIER 100,jw02107-o032_t014_nircam_clear-f335m,jw02107-o043_t014_nircam_clear-f335m,exact,358.0631154629664,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
50,NGC 7172::jw02064-o015_t008_miri_f1500w-sub256::jw01670-o002_t009_miri_f1500w-sub256,NGC 7172,jw02064-o015_t008_miri_f1500w-sub256,jw01670-o002_t009_miri_f1500w-sub256,exact,354.62846826388704,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
51,NGC 7172::jw02064-o015_t008_miri_f1000w-sub256::jw01670-o002_t009_miri_f1000w-sub256,NGC 7172,jw02064-o015_t008_miri_f1000w-sub256,jw01670-o002_t009_miri_f1000w-sub256,exact,354.6260030787016,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
